MINE_ID,CONTROLLER_ID,CONTROLLER_NAME,OPERATOR_ID,OPERATOR_NAME,CONTRACTOR_ID,DOCUMENT_NO,SUBUNIT_CD,SUBUNIT,ACCIDENT_DT,CAL_YR,CAL_QTR,FISCAL_YR,FISCAL_QTR,ACCIDENT_TIME,DEGREE_INJURY_CD,DEGREE_INJURY,FIPS_STATE_CD,UG_LOCATION_CD,UG_LOCATION,UG_MINING_METHOD_CD,UG_MINING_METHOD,MINING_EQUIP_CD,MINING_EQUIP,EQUIP_MFR_CD,EQUIP_MFR_NAME,EQUIP_MODEL_NO,SHIFT_BEGIN_TIME,CLASSIFICATION_CD,CLASSIFICATION,ACCIDENT_TYPE_CD,ACCIDENT_TYPE,NO_INJURIES,TOT_EXPER,MINE_EXPER,JOB_EXPER,OCCUPATION_CD,OCCUPATION,ACTIVITY_CD,ACTIVITY,INJURY_SOURCE_CD,INJURY_SOURCE,NATURE_INJURY_CD,NATURE_INJURY,INJ_BODY_PART_CD,INJ_BODY_PART,SCHEDULE_CHARGE,DAYS_RESTRICT,DAYS_LOST,TRANS_TERM,RETURN_TO_WORK_DT,IMMED_NOTIFY_CD,IMMED_NOTIFY,INVEST_BEGIN_DT,NARRATIVE,CLOSED_DOC_NO,COAL_METAL_IND
100027,M02802,Vicat S A,L12645,"National Cement Co., of AL., Inc.",,2.20072E+11,30,MILL OPERATION/PREPARATION PLANT,2/02/2007,2007,1,2007,2,630,3,DAYS AWAY FROM WORK ONLY,1,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,600,20,STRIKING OR BUMPING,1,STRUCK AGAINST STATIONARY OBJ,1,38.42,38.42,2.77,374,"Warehouseman, Bagger, Palletizer/Stacker, Store keeper, Packager, Fabricator, Cleaning plant operator",92,WALKING/RUNNING,72,"LADDERS,NEC",330,"SPRAIN,STRAIN RUPT DISC",700,MULTIPLE PARTS (MORE THAN ONE MAJOR),0,0,1,N,08/15/2007,? ,NO VALUE FOUND,,"EE was walking, careful not to slip on wet ground(rain), and struck brim of hardhat on low pipe. Incident resulted in strained neck, but did not require medical attention at that time. EE's neck discomfort increased and bumped head on ladder on 07/01/07. EE had myelogram procedure on 08/14/07, which resulted in lost workday. EE has long history of neck/back pain.",,M
100034,M06183,CRH PLC,L09995,Big River Industries Inc,,2.20003E+11,30,MILL OPERATION/PREPARATION PLANT,30/11/2000,2000,4,2001,1,840,6,"NO DYS AWY FRM WRK,NO RSTR ACT",1,?,NO VALUE FOUND,?,NO VALUE FOUND,24,"Front-end loader, Tractor-shovel, Payloader, Highlift, Skip loader",1119,Komatsu,450,700,18,SLIP OR FALL OF PERSON,1,STRUCK AGAINST STATIONARY OBJ,1,4.05,4.05,4.05,304,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",23,GET ON/OFF EQUIPMENT/MACHINES,87,WHEEL-FROM CAR OR TRUCK,180,"CUT,LACER,PUNCT-OPN WOUND",120,EAR(S) INTERNAL & EXTERNAL,,,,N,12/01/2000,13,NOT MARKED,11/30/2000,EE WAS REPAIRING THE HYDRAULIC LINES ON THE KOMATSU LOADER WHEN THE EE REMOVED HIS BODY FROM THELOADER HE CUT HIS EAR ON THE WHEEL WALL OF THE LOADER,3.20003E+11,M
100040,41044,Lhoist Group,L13586,"Lhoist North America of Alabama, LLC",,2.20022E+11,30,MILL OPERATION/PREPARATION PLANT,12/07/2002,2002,3,2002,4,1815,6,"NO DYS AWY FRM WRK,NO RSTR ACT",1,?,NO VALUE FOUND,?,NO VALUE FOUND,28,Hand tools (not powered),0,Not Reported,?,700,10,HANDTOOLS (NONPOWERED),1,STRUCK AGAINST STATIONARY OBJ,1,13,13,3,304,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",30,HAND TOOLS (NOT POWERED),59,"KILNS,MELT FURNACE,RETORT",180,"CUT,LACER,PUNCT-OPN WOUND",340,FINGER(S)/THUMB,,,,N,07/15/2002,13,NOT MARKED,,INJURED WAS TIGHTENING A BOLT ON A LEAF SEAL AND THE WRENCH SLIPPED AND HIS RIGHT FINGER GOT CUT ON THE LEAF SEAL WHEN HIS HAND STRUCK IT.,,M
100040,41044,Lhoist Group,L13586,"Lhoist North America of Alabama, LLC",,2.20143E+11,30,MILL OPERATION/PREPARATION PLANT,11/07/2014,2014,3,2014,4,1030,3,DAYS AWAY FROM WORK ONLY,1,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,700,9,HANDLING OF MATERIALS,27,OVER-EXERTION IN LIFTING OBJS,1,6.06,6.06,6.06,304,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",39,MACHINE MAINTENANCE/REPAIR,86,METAL COVERS & GUARDS,330,"SPRAIN,STRAIN RUPT DISC",420,BACK (MUSCLES/SPINE/S-CORD/TAILBONE),0,,,,,? ,NO VALUE FOUND,,"EE was removing a coupling guard and felt a pain in his lower back. EE went to the doctor and came back with no restriction, sent to therapy on 9/9/2014 Doctor put him on restrictive duty.",,M
100043,M00004,Heidelberg Cement AG,L17551,Lehigh Cement Company LLC,,2.20042E+11,30,MILL OPERATION/PREPARATION PLANT,4/06/2004,2004,2,2004,3,1000,6,"NO DYS AWY FRM WRK,NO RSTR ACT",1,?,NO VALUE FOUND,?,NO VALUE FOUND,13,"Conveyor, Belt feeder, Stage loader, Hopper shaker, Belt structure",121,Not Reported,,700,9,HANDLING OF MATERIALS,8,"STRUCK BY, NEC",1,27.9,27.9,9.4,374,"Warehouseman, Bagger, Palletizer/Stacker, Store keeper, Packager, Fabricator, Cleaning plant operator",39,MACHINE MAINTENANCE/REPAIR,35,BELT CONVEYORS,180,"CUT,LACER,PUNCT-OPN WOUND",340,FINGER(S)/THUMB,0,0,0,N,6/07/2004,? ,NO VALUE FOUND,,EE WAS PUTTING WEIGH IDLER BACK ON SCALE AFTER CHANGING LOAD CELL.  IDLER SLIPPED AND CUT HIS FINGER.,,M
100052,M38913,Robin A  Wade Jr,L39961,"Wade Sand & Gravel Co., Inc",,2.20091E+11,3,"STRIP, QUARY, OPEN PIT",8/01/2008,2008,1,2008,2,9999,3,DAYS AWAY FROM WORK ONLY,1,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,600,18,SLIP OR FALL OF PERSON,30,"OVER-EXERTION, NEC",1,10.83,10.83,10.83,368,"Bulldozer operator, Universal operator, Heavy equipment operator, Operating engineer",92,WALKING/RUNNING,117,GROUND,330,"SPRAIN,STRAIN RUPT DISC",512,KNEE/PATELLA,0,0,0,,,? ,NO VALUE FOUND,,"Employee originally stepped awkwardly in a dip in the ground on 1/8/08 hurting his right knee. Employee continued to work. He then states that he re-injured the same knee on 2/16/09. He continued to work. His knee has evidently worsened and he had knee surgery on 3/27/09. Employee has since returned to work, seated duty only, on 4/15/09.",,M
100093,M00015,Amcol International Corp,L00006,American Colloid Company Mineral Group,,2.20033E+11,30,MILL OPERATION/PREPARATION PLANT,9/09/2003,2003,3,2003,4,1000,2,PERM TOT OR PERM PRTL DISABLTY,1,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,600,9,HANDLING OF MATERIALS,30,"OVER-EXERTION, NEC",1,8.3,8.3,2.03,304,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",28,HANDLING SUPPLIES/MATERIALS,3,"BOILR,PRES VSL,AIR HOS,OX",260,HERNIA;RUPTURE,440,HIPS (PELVIS/ORGANS/KIDNEYS/BUTTOCKS),50,,,N,,13,NOT MARKED,9/10/2003,EMPLOYEE WAS CARRYING AN OXYGEN BOTTLE & FELT SOMETHING PULL IN LEFT GROIN.,,M
100394,M12849,Carmeuse Holding SA; Lafarge SA,L16823,Dravo Lime Inc,,2.20021E+11,30,MILL OPERATION/PREPARATION PLANT,19/10/2001,2001,4,2002,1,1400,3,DAYS AWAY FROM WORK ONLY,1,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,700,18,SLIP OR FALL OF PERSON,18,FALL ONTO OR AGAINST OBJECTS,1,2.38,2.38,1,316,"Laborer, Blacksmith, Bull gang, Parts runner, Roustabout, Pick-up man, Pitman",39,MACHINE MAINTENANCE/REPAIR,88,"METAL,NEC(PIPE,WIRE,NAIL)",220,"FRACTURE,CHIP",312,ELBOW,,,15,N,05/15/2002,13,NOT MARKED,,EE WAS WORKING IN THE #2 SCRUBBER CLEANING IT OUT. HE WAS STANDING ON LOOSE MATERIAL & WHEN ITWAS CLEANED UP WITH BOBCAT FROM THE BOTTOM OF THE TANK ON THE OUTSIDE THE MATERIAL GAVE WAY & EE STRUCK HIS LEFT ELBOW AGAINST THE TANK. HE SAID HE WAS FINE & DID NOT NEED MED ATTENTION WE TOOKHIM TO HOSP ANYWAY TO BE CHECKED OUT HE WAS FINEON 4/26/02 HE HAD SURGERY ON THE ELBOW,,M
100629,M02063,Lafarge S A,50815,Lafarge Building Materials Incorporated,C037,2.20071E+11,30,MILL OPERATION/PREPARATION PLANT,10/03/2007,2007,1,2007,2,1340,6,"NO DYS AWY FRM WRK,NO RSTR ACT",1,?,NO VALUE FOUND,?,NO VALUE FOUND,14,"Crane, Cherry picker, Lift basket, Scissor truck, Boom truck",69,Manitowoc,4100,700,17,MACHINERY,8,"STRUCK BY, NEC",1,3,0.15,3,304,"Maintenance man, Mechanic,  Repair/Serviceman, Boilermaker, Fueler, Tire tech, Field service tech",76,RIDE EQUIPMENT,79,"CHAIN,ROPE,CABLE-NT CONVY",160,"CONTUSN,BRUISE,INTAC SKIN",530,FOOT(NOT ANKLE/TOE)/TARSUS/METATARSUS,0,0,0,N,3/12/2007,2,SERIOUS INJURY,3/10/2007,"Two employees were being hoisted in a manbasket by a crane (approx 10 ft) when the operator noticed the cable unwinding from the drum. The employees were lowered to the ground by the operator as the cable became fully unwound, thus dropping the block and cable down into the basket. The employees were able to get out of the basket, however, one was struck in the foot by the cable.",,M
100629,M02063,Lafarge S A,50815,Lafarge Building Materials Incorporated,,2.2007E+11,30,MILL OPERATION/PREPARATION PLANT,11/07/2006,2006,3,2006,4,1900,5,DAYS RESTRICTED ACTIVITY ONLY,1,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,1800,18,SLIP OR FALL OF PERSON,30,"OVER-EXERTION, NEC",1,11.92,11.92,11.92,374,"Warehouseman, Bagger, Palletizer/Stacker, Store keeper, Packager, Fabricator, Cleaning plant operator",26,HANDLING COAL/ROCK WASTE/ORE,117,GROUND,330,"SPRAIN,STRAIN RUPT DISC",512,KNEE/PATELLA,0,7,0,N,12/29/2006,? ,NO VALUE FOUND,,Employee slipped at limestone reclaimer. Accident became reportable in December.,,M
100629,M02063,Lafarge S A,50815,Lafarge Building Materials Incorporated,,2.20081E+11,30,MILL OPERATION/PREPARATION PLANT,12/02/2008,2008,1,2008,2,930,4,DYS AWY FRM WRK & RESTRCTD ACT,1,?,NO VALUE FOUND,?,NO VALUE FOUND,8,"Bulldozer, Dozer, Crawler tractor, Push cat",18,Caterpillar,D9T,600,17,MACHINERY,2,STRUCK AGAINST MOVING OBJECT,1,13.98,13.98,13.98,368,"Bulldozer operator, Universal operator, Heavy equipment operator, Operating engineer",47,OPERATE BULLDOZER,76,SURFACE MINING MACHINES,330,"SPRAIN,STRAIN RUPT DISC",200,NECK,0,17,258,N,5/01/2009,? ,NO VALUE FOUND,,Employee was pushing material with dozer when rock struck dozer and he jerked backwards.,3.20081E+11,M
100644,M13295,Darlene  Garner Abts,L17436,"Oneonta Stone Quarries, Inc",,2.20042E+11,30,MILL OPERATION/PREPARATION PLANT,3/08/2004,2004,3,2004,4,1545,3,DAYS AWAY FROM WORK ONLY,1,?,NO VALUE FOUND,?,NO VALUE FOUND,24,"Front-end loader, Tractor-shovel, Payloader, Highlift, Skip loader",18,Caterpillar,873,700,12,POWERED HAULAGE,7,STRUCK BY POWERED MOVING OBJ,1,2.19,2.19,2.19,642,"Stone finishing and sizing personnel, Stone/Rock cut/Polish/Saw operator, Splitter, Cutter, Trimmer",98,OTHER NEC,76,SURFACE MINING MACHINES,160,"CONTUSN,BRUISE,INTAC SKIN",513,LOWER LEG/TIBIA/FIBULA,0,0,2,N,8/09/2004,? ,NO VALUE FOUND,8/04/2004,INJURED PARTY WAS TALKING TO BOBCAT OPERATOR & THE OPERATOR MOVED THE MACHINE BEFORE THE PERSON WAS CLEAR. THE RT. FORK OF THE MACHINE HIT HIS RT. LEG. OPERATOR ERROR.,,M
100759,C00877,Chevron Corporation,P01032,Chevron Mining Inc,,2.20002E+11,1,UNDERGROUND,7/07/2000,2000,3,2000,4,300,0,ACCIDENT ONLY,1,98,OTHER,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,2200,7,FALL OF ROOF OR BACK,44,"ACC TYPE, WITHOUT INJURIES",0,,,,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,,,,,8,ROOF FALL,7/07/2000,"A ROOF FALL HAS OCCURRED IN THE L-5 ROOMS IN THE #2 (TRACK ENTRY) INBY SPAD #5+20. THE FALL IS IN AN INTERSECTION AND IS APPROX. 45' LONG, 18' WIDE & 8-10' HIGH.",,C
100759,C00877,Chevron Corporation,P01032,Chevron Mining Inc,,2.20052E+11,1,UNDERGROUND,10/07/2005,2005,3,2005,4,715,0,ACCIDENT ONLY,1,4,INTERSECTION,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,,600,7,FALL OF ROOF OR BACK,44,"ACC TYPE, WITHOUT INJURIES",0,,,,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,0,0,0,,,8,ROOF FALL,7/10/2005,A roof fall occurred in the intersection of the #2 entry of J-main #2 at spad 41+05. The fall measured approx. 100' x 20' x 6'. The fall did extend beyond the horizon of the anchor bolts.,,C
100759,C00877,Chevron Corporation,P01032,Chevron Mining Inc,,2.2006E+11,1,UNDERGROUND,5/02/2006,2006,1,2006,2,1130,6,"NO DYS AWY FRM WRK,NO RSTR ACT",1,4,INTERSECTION,?,NO VALUE FOUND,28,Hand tools (not powered),121,Not Reported,,600,10,HANDTOOLS (NONPOWERED),8,"STRUCK BY, NEC",1,3.08,3.08,0.54,53,"Utility man, Errand boy, Service truck operator",30,HAND TOOLS (NOT POWERED),49,KNIFE,180,"CUT,LACER,PUNCT-OPN WOUND",340,FINGER(S)/THUMB,0,0,0,N,2/06/2006,? ,NO VALUE FOUND,,EE stated that he was cutting a piece of belt. His left hand slipped off of the knife and cut his left index finger. The laceration required 8 sutures.,,C
100759,C00877,Chevron Corporation,P01032,Chevron Mining Inc,,2.20071E+11,1,UNDERGROUND,24/05/2007,2007,2,2007,3,1515,0,ACCIDENT ONLY,1,1,VERTICAL SHAFT,?,NO VALUE FOUND,19,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",119,Not on this list,TM-01-04,1400,13,HOISTING,44,"ACC TYPE, WITHOUT INJURIES",0,,,,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,0,0,0,,,11,HOISTING,05/24/2007,The Cedar Creek elevator was out of service from 3:15 pm to 3:58 pm on 5/24/07 due to a door malfunction.,,C
100759,C00877,Chevron Corporation,P01032,Chevron Mining Inc,,2.20093E+11,1,UNDERGROUND,13/09/2009,2009,3,2009,4,653,0,ACCIDENT ONLY,1,1,VERTICAL SHAFT,1,Longwall,19,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",119,Not on this list,G-42299,600,13,HOISTING,44,"ACC TYPE, WITHOUT INJURIES",0,,,,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,0,0,0,,,11,HOISTING,09/13/2009,The Cedar Creek Elevator was out of service from 6:53 am until 9:46 am due to an auxilary brake contactor fault.,,C
100759,C00992,Walter Energy Incorporated,P01155,Jim Walter Resources Inc,,2.20123E+11,1,UNDERGROUND,12/11/2012,2012,4,2013,1,140,0,ACCIDENT ONLY,1,1,VERTICAL SHAFT,1,Longwall,19,"Elevator, Skip, Cage, Buckets, Mancage, Slope car ",119,Not on this list,G-42299,2200,13,HOISTING,44,"ACC TYPE, WITHOUT INJURIES",0,,,,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,?,NO VALUE FOUND,0,0,0,,,11,HOISTING,11/12/2012,The Cedar Creek Elevator was down from 1:40 am until 4:00 am due to motor brake release fault.,,C
